# split	kind	input	expected (one trailing space added by test)
holdout	positive	rkfdbfnehs	клавиатуры
holdout	negative	клавиатуры	клавиатуры
dev	positive	vsim	мышь
dev	negative	мышь	мышь
dev	positive	vjybnjh	монитор
dev	negative	монитор	монитор
holdout	positive	'rhfy	экран
holdout	negative	экран	экран
holdout	positive	jryj	окно
holdout	negative	окно	окно
holdout	positive	jryf	окна
holdout	negative	окна	окна
dev	positive	ghjuhfvvf	программа
dev	negative	программа	программа
dev	positive	ghjuhfvvs	программы
dev	negative	программы	программы
holdout	positive	ghbkj;tybt	приложение
holdout	negative	приложение	приложение
holdout	positive	ghbkj;tybz	приложения
holdout	negative	приложения	приложения
holdout	positive	cbcntvf	система
holdout	negative	система	система
dev	positive	cbcntvs	системы
dev	negative	системы	системы
dev	positive	ghjtrn	проект
dev	negative	проект	проект
holdout	positive	ghjtrns	проекты
holdout	negative	проекты	проекты
holdout	positive	pflfxf	задача
holdout	negative	задача	задача
holdout	positive	pflfxb	задачи
holdout	negative	задачи	задачи
dev	positive	dcnhtxf	встреча
dev	negative	встреча	встреча
dev	positive	dcnhtxe	встречу
dev	negative	встречу	встречу
holdout	positive	dcnhtxb	встречи
holdout	negative	встречи	встречи
holdout	positive	cjj,otybt	сообщение
holdout	negative	сообщение	сообщение
holdout	positive	cjj,otybz	сообщения
holdout	negative	сообщения	сообщения
dev	positive	gbcmvj	письмо
dev	negative	письмо	письмо
dev	positive	ntktajy	телефон
dev	negative	телефон	телефон
holdout	positive	vfibyf	машина
holdout	negative	машина	машина
holdout	positive	ljv	дом
holdout	negative	дом	дом
holdout	positive	ljvf	дома
holdout	negative	дома	дома
dev	positive	rjvyfnf	комната
dev	negative	комната	комната
dev	positive	ekbwf	улица
dev	negative	улица	улица
holdout	positive	ujhjl	город
holdout	negative	город	город
holdout	positive	cnhfyf	страна
holdout	negative	страна	страна
holdout	positive	vbh	мир
holdout	negative	мир	мир
dev	positive	;bpym	жизнь
dev	negative	жизнь	жизнь
dev	positive	bcnjhbz	история
dev	negative	история	история
holdout	positive	djghjc	вопрос
holdout	negative	вопрос	вопрос
holdout	positive	jndtn	ответ
holdout	negative	ответ	ответ
holdout	positive	ghbxbyf	причина
holdout	negative	причина	причина
dev	positive	htpekmnfn	результат
dev	negative	результат	результат
dev	positive	ghbvth	пример
dev	negative	пример	пример
holdout	positive	cgjcj,	способ
holdout	negative	способ	способ
holdout	positive	vtnjl	метод
holdout	negative	метод	метод
holdout	positive	ghfdbkj	правило
holdout	negative	правило	правило
dev	positive	dthcbz	версия
dev	negative	версия	версия
dev	positive	yfcnhjqrb	настройки
dev	negative	настройки	настройки
holdout	positive	yfcnhjqrfvb	настройками
holdout	negative	настройками	настройками
holdout	positive	yfcnhjqrf	настройка
holdout	negative	настройка	настройка
holdout	positive	yfcnhjqrjq	настройкой
holdout	negative	настройкой	настройкой
dev	positive	rjyabuehfwbz	конфигурация
dev	negative	конфигурация	конфигурация
dev	positive	gthtrk.xtybt	переключение
dev	negative	переключение	переключение
holdout	positive	gthtrk.xtybz	переключения
holdout	negative	переключения	переключения
holdout	positive	gthtrk.xfntkm	переключатель
holdout	negative	переключатель	переключатель
holdout	positive	hfcrkflrf	раскладка
holdout	negative	раскладка	раскладка
dev	positive	hfcrkflrb	раскладки
dev	negative	раскладки	раскладки
dev	positive	bcghfdktybt	исправление
dev	negative	исправление	исправление
holdout	positive	bcghfdktybz	исправления
holdout	negative	исправления	исправления
holdout	positive	bcghfdbnm	исправить
holdout	negative	исправить	исправить
holdout	positive	jib,rf	ошибка
holdout	negative	ошибка	ошибка
dev	positive	jib,rb	ошибки
dev	negative	ошибки	ошибки
dev	positive	cj[hfytybt	сохранение
dev	negative	сохранение	сохранение
holdout	positive	cj[hfytybz	сохранения
holdout	negative	сохранения	сохранения
holdout	positive	pfuheprf	загрузка
holdout	negative	загрузка	загрузка
holdout	positive	ecnfyjdrf	установка
holdout	negative	установка	установка
dev	positive	elfktybt	удаление
dev	negative	удаление	удаление
dev	positive	pfgecr	запуск
dev	negative	запуск	запуск
holdout	positive	jcnfyjdrf	остановка
holdout	negative	остановка	остановка
holdout	positive	gfepf	пауза
holdout	negative	пауза	пауза
holdout	positive	ghjljk;bnm	продолжить
holdout	negative	продолжить	продолжить
dev	positive	yfxfnm	начать
dev	negative	начать	начать
dev	positive	pfrjyxbnm	закончить
dev	negative	закончить	закончить
holdout	positive	ghjdthrf	проверка
holdout	negative	проверка	проверка
holdout	positive	ghjdthre	проверку
holdout	negative	проверку	проверку
holdout	positive	ghjdthrb	проверки
holdout	negative	проверки	проверки
dev	positive	ghjdthbnm	проверить
dev	negative	проверить	проверить
dev	positive	ntcn	тест
dev	negative	тест	тест
holdout	positive	ntcns	тесты
holdout	negative	тесты	тесты
holdout	positive	ckjdfhm	словарь
holdout	negative	словарь	словарь
holdout	positive	ckjdfhz	словаря
holdout	negative	словаря	словаря
dev	positive	ckjdfhb	словари
dev	negative	словари	словари
dev	positive	ckjdj	слово
dev	negative	слово	слово
holdout	positive	ckjdf	слова
holdout	negative	слова	слова
holdout	positive	ntrcn	текст
holdout	negative	текст	текст
holdout	positive	ntrcnf	текста
holdout	negative	текста	текста
dev	positive	ahfpf	фраза
dev	negative	фраза	фраза
dev	positive	ahfps	фразы
dev	negative	фразы	фразы
holdout	positive	ddjl	ввод
holdout	negative	ввод	ввод
holdout	positive	ddjlf	ввода
holdout	negative	ввода	ввода
holdout	positive	dsdjl	вывод
holdout	negative	вывод	вывод
dev	positive	gjkmpjdfntkm	пользователь
dev	negative	пользователь	пользователь
dev	positive	gjkmpjdfntkb	пользователи
dev	negative	пользователи	пользователи
holdout	positive	flvbybcnhfnjh	администратор
holdout	negative	администратор	администратор
holdout	positive	hfphf,jnxbr	разработчик
holdout	negative	разработчик	разработчик
holdout	positive	heccrbq	русский
holdout	negative	русский	русский
dev	positive	fyukbqcrbq	английский
dev	negative	английский	английский
dev	positive	heccrbt	русские
dev	negative	русские	русские
holdout	positive	fyukbqcrbt	английские
holdout	negative	английские	английские
holdout	positive	yjdsq	новый
holdout	negative	новый	новый
holdout	positive	yjdst	новые
holdout	negative	новые	новые
dev	positive	cnfhsq	старый
dev	negative	старый	старый
dev	positive	,jkmijq	большой
dev	negative	большой	большой
holdout	positive	vfktymrbq	маленький
holdout	negative	маленький	маленький
holdout	positive	,scnhsq	быстрый
holdout	negative	быстрый	быстрый
holdout	positive	vtlktyysq	медленный
holdout	negative	медленный	медленный
dev	positive	ghjcnjq	простой
dev	negative	простой	простой
dev	positive	ckj;yj	сложно
dev	negative	сложно	сложно
holdout	positive	df;yj	важно
holdout	negative	важно	важно
holdout	positive	ujnjd	готов
holdout	negative	готов	готов
holdout	positive	ujnjds	готовы
holdout	negative	готовы	готовы
dev	positive	frnbdty	активен
dev	negative	активен	активен
dev	positive	dsrk.xty	выключен
dev	negative	выключен	выключен
holdout	positive	rfr	как
holdout	negative	как	как
holdout	positive	xnj	что
holdout	negative	что	что
holdout	positive	ult	где
holdout	negative	где	где
dev	positive	rnj	кто
dev	negative	кто	кто
dev	positive	'nj	это
dev	negative	это	это
holdout	positive	,sk	был
holdout	negative	был	был
holdout	positive	,skf	была
holdout	negative	была	была
holdout	positive	,skb	были
holdout	negative	были	были
dev	positive	jyb	они
dev	negative	они	они
dev	positive	vs	мы
dev	negative	мы	мы
holdout	positive	ds	вы
holdout	negative	вы	вы
holdout	positive	jy	он
holdout	negative	он	он
holdout	positive	jyf	она
holdout	negative	она	она
dev	positive	jyj	оно
dev	negative	оно	оно
dev	positive	nen	тут
dev	negative	тут	тут
holdout	positive	nfv	там
holdout	negative	там	там
holdout	positive	djn	вот
holdout	negative	вот	вот
holdout	positive	e;t	уже
holdout	negative	уже	уже
dev	positive	tot	еще
dev	negative	еще	еще
dev	positive	nj;t	тоже
dev	negative	тоже	тоже
holdout	positive	nfr	так
holdout	negative	так	так
holdout	positive	xnj,s	чтобы
holdout	negative	чтобы	чтобы
holdout	positive	gjnjve	потому
holdout	negative	потому	потому
dev	positive	gj'njve	поэтому
dev	negative	поэтому	поэтому
dev	positive	jlyfrj	однако
dev	negative	однако	однако
holdout	positive	dct	все
holdout	negative	все	все
holdout	positive	cfv	сам
holdout	negative	сам	сам
holdout	positive	cfvsq	самый
holdout	negative	самый	самый
dev	positive	yjdtt	новее
dev	negative	новее	новее
dev	positive	lheujq	другой
dev	negative	другой	другой
holdout	positive	lheubt	другие
holdout	negative	другие	другие
holdout	positive	rkfdbfnehfvb	клавиатурами
holdout	negative	клавиатурами	клавиатурами
holdout	positive	hfcrkflrfvb	раскладками
holdout	negative	раскладками	раскладками
dev	positive	gjkmpjdfntkzvb	пользователями
dev	negative	пользователями	пользователями
dev	positive	hfphf,jnxbrjd	разработчиков
dev	negative	разработчиков	разработчиков
holdout	positive	gthtrk.xfntkzvb	переключателями
holdout	negative	переключателями	переключателями
holdout	positive	bcghfdktybzvb	исправлениями
holdout	negative	исправлениями	исправлениями
holdout	positive	cj[hfytybzvb	сохранениями
holdout	negative	сохранениями	сохранениями
dev	positive	руддщ	hello
dev	negative	hello	hello
dev	positive	цщкдв	world
dev	negative	world	world
holdout	positive	ьууештп	meeting
holdout	negative	meeting	meeting
holdout	positive	ьууештпы	meetings
holdout	negative	meetings	meetings
holdout	positive	вщсгьуте	document
holdout	negative	document	document
dev	positive	вщсгьутеы	documents
dev	negative	documents	documents
dev	positive	лунищфкв	keyboard
dev	negative	keyboard	keyboard
holdout	positive	лунищфквы	keyboards
holdout	negative	keyboards	keyboards
holdout	positive	фзздшсфешщт	application
holdout	negative	application	application
holdout	positive	фзздшсфешщты	applications
holdout	negative	applications	applications
dev	positive	цщклштп	working
dev	negative	working	working
dev	positive	цщклув	worked
dev	negative	worked	worked
holdout	positive	цщклы	works
holdout	negative	works	works
holdout	positive	цщкл	work
holdout	negative	work	work
holdout	positive	еуыештп	testing
holdout	negative	testing	testing
dev	positive	еуыеы	tests
dev	negative	tests	tests
dev	positive	еуые	test
dev	negative	test	test
holdout	positive	ыуеештпы	settings
holdout	negative	settings	settings
holdout	positive	ыуеештп	setting
holdout	negative	setting	setting
holdout	positive	сщккусешщт	correction
holdout	negative	correction	correction
dev	positive	сщккусешщты	corrections
dev	negative	corrections	corrections
dev	positive	ьуыыфпу	message
dev	negative	message	message
holdout	positive	ьуыыфпуы	messages
holdout	negative	messages	messages
holdout	positive	ещьщккщц	tomorrow
holdout	negative	tomorrow	tomorrow
holdout	positive	нуыеуквфн	yesterday
holdout	negative	yesterday	yesterday
dev	positive	умутштп	evening
dev	negative	evening	evening
dev	positive	ьщктштп	morning
dev	negative	morning	morning
holdout	positive	тшпре	night
holdout	negative	night	night
holdout	positive	ещвфн	today
holdout	negative	today	today
holdout	positive	сщьзгеук	computer
holdout	negative	computer	computer
dev	positive	сщьзгеукы	computers
dev	negative	computers	computers
dev	positive	ыфмштп	saving
dev	negative	saving	saving
holdout	positive	ыфмув	saved
holdout	negative	saved	saved
holdout	positive	ыфму	save
holdout	negative	save	save
holdout	positive	ыцшесрштп	switching
holdout	negative	switching	switching
dev	positive	ыцшеср	switch
dev	negative	switch	switch
dev	positive	дфтпгфпу	language
dev	negative	language	language
holdout	positive	дфтпгфпуы	languages
holdout	negative	languages	languages
holdout	positive	вумудщзьуте	development
holdout	negative	development	development
holdout	positive	вумудщзук	developer
holdout	negative	developer	developer
dev	positive	вумудщзукы	developers
dev	negative	developers	developers
dev	positive	штащкьфешщт	information
dev	negative	information	information
holdout	positive	шьзщкефте	important
holdout	negative	important	important
holdout	positive	фмфшдфиду	available
holdout	negative	available	available
holdout	positive	вшааукуте	different
holdout	negative	different	different
dev	positive	иусфгыу	because
dev	negative	because	because
dev	positive	ещпуерук	together
dev	negative	together	together
holdout	positive	иуецуут	between
holdout	negative	between	between
holdout	positive	цудсщьу	welcome
holdout	negative	welcome	welcome
holdout	positive	здуфыу	please
holdout	negative	please	please
dev	positive	ерфтлы	thanks
dev	negative	thanks	thanks
dev	positive	ыщккн	sorry
dev	negative	sorry	sorry
holdout	positive	пщщвину	goodbye
holdout	negative	goodbye	goodbye
holdout	positive	нуы	yes
holdout	negative	yes	yes
holdout	positive	тщ	no
holdout	negative	no	no
dev	positive	ьфниу	maybe
dev	negative	maybe	maybe
dev	positive	ырщгдв	should
dev	negative	should	should
holdout	positive	цщгдв	would
holdout	negative	would	would
holdout	positive	сщгдв	could
holdout	negative	could	could
holdout	positive	ьгые	must
holdout	negative	must	must
dev	positive	цфте	want
dev	negative	want	want
dev	positive	туув	need
dev	negative	need	need
holdout	positive	рудз	help
holdout	negative	help	help
holdout	positive	ырщц	show
holdout	negative	show	show
holdout	positive	ршву	hide
holdout	negative	hide	hide
dev	positive	щзут	open
dev	negative	open	open
dev	positive	сдщыу	close
dev	negative	close	close
holdout	positive	ыефке	start
holdout	negative	start	start
holdout	positive	ыещз	stop
holdout	negative	stop	stop
holdout	positive	зфгыу	pause
holdout	negative	pause	pause
dev	positive	куыгьу	resume
dev	negative	resume	resume
dev	positive	скуфеу	create
dev	negative	create	create
holdout	positive	вудуеу	delete
holdout	negative	delete	delete
holdout	positive	гзвфеу	update
holdout	negative	update	update
holdout	positive	гзпкфву	upgrade
holdout	negative	upgrade	upgrade
dev	positive	штыефдд	install
dev	negative	install	install
dev	positive	куьщму	remove
dev	negative	remove	remove
holdout	positive	вщцтдщфв	download
holdout	negative	download	download
holdout	positive	гздщфв	upload
holdout	negative	upload	upload
holdout	positive	ашду	file
holdout	negative	file	file
dev	positive	ашдуы	files
dev	negative	files	files
dev	positive	ащдвук	folder
dev	negative	folder	folder
holdout	positive	ащдвукы	folders
holdout	negative	folders	folders
holdout	positive	ыскуут	screen
holdout	negative	screen	screen
holdout	positive	цштвщц	window
holdout	negative	window	window
dev	positive	цштвщцы	windows
dev	negative	windows	windows
dev	positive	зкщпкфь	program
dev	negative	program	program
holdout	positive	зкщпкфьы	programs
holdout	negative	programs	programs
holdout	positive	ыныеуь	system
holdout	negative	system	system
holdout	positive	зкщоусе	project
holdout	negative	project	project
dev	positive	зкщоусеы	projects
dev	negative	projects	projects
dev	positive	ефыл	task
dev	negative	task	task
holdout	positive	ефылы	tasks
holdout	negative	tasks	tasks
holdout	positive	куыгде	result
holdout	negative	result	result
holdout	positive	куыгдеы	results
holdout	negative	results	results
dev	positive	учфьзду	example
dev	negative	example	example
dev	positive	ьуерщв	method
dev	negative	method	method
holdout	positive	ьуерщвы	methods
holdout	negative	methods	methods
holdout	positive	мукышщт	version
holdout	negative	version	version
holdout	positive	мукышщты	versions
holdout	negative	versions	versions
dev	positive	уккщк	error
dev	negative	error	error
dev	positive	уккщкы	errors
dev	negative	errors	errors
holdout	positive	срусл	check
holdout	negative	check	check
holdout	positive	сруслштп	checking
holdout	negative	checking	checking
holdout	positive	гыук	user
holdout	negative	user	user
dev	positive	гыукы	users
dev	negative	users	users
dev	positive	фвьшт	admin
dev	negative	admin	admin
holdout	positive	зфыыцщкв	password
holdout	negative	password	password
holdout	positive	гыуктфьу	username
holdout	negative	username	username
holdout	positive	уьфшд	email
holdout	negative	email	email
dev	positive	туецщкл	network
dev	negative	network	network
dev	positive	ыукмук	server
dev	negative	server	server
holdout	positive	сдшуте	client
holdout	negative	client	client
holdout	positive	игааук	buffer
holdout	negative	buffer	buffer
holdout	positive	сфсру	cache
holdout	negative	cache	cache
dev	positive	ьуьщкн	memory
dev	negative	memory	memory
dev	positive	зкщсуыы	process
dev	negative	process	process
holdout	positive	еркуфв	thread
holdout	negative	thread	thread
holdout	positive	еркуфвы	threads
holdout	negative	threads	threads
holdout	positive	йгугу	queue
holdout	negative	queue	queue
dev	positive	дшые	list
dev	negative	list	list
dev	positive	шеуь	item
dev	negative	item	item
holdout	positive	шеуьы	items
holdout	negative	items	items
holdout	positive	мфдгу	value
holdout	negative	value	value
holdout	positive	мфдгуы	values
holdout	negative	values	values
dev	positive	тгьиук	number
dev	negative	number	number
dev	positive	еуче	text
dev	negative	text	text
holdout	positive	ыекштп	string
holdout	negative	string	string
holdout	positive	игеещт	button
holdout	negative	button	button
holdout	positive	ьутг	menu
holdout	negative	menu	menu
dev	positive	щзешщты	options
dev	negative	options	options
dev	positive	сщташп	config
dev	negative	config	config
holdout	positive	сщташпгку	configure
holdout	negative	configure	configure
holdout	positive	утфидув	enabled
holdout	negative	enabled	enabled
holdout	positive	вшыфидув	disabled
holdout	negative	disabled	disabled
dev	positive	фсешму	active
dev	negative	active	active
dev	positive	куфвн	ready
dev	negative	ready	ready
holdout	positive	афшдув	failed
holdout	negative	failed	failed
holdout	positive	ыгссуыы	success
holdout	negative	success	success
holdout	positive	цфктштп	warning
holdout	negative	warning	warning
dev	positive	ыефегы	status
dev	negative	status	status
dev	positive	ыефеу	state
dev	negative	state	state
holdout	positive	еру	the
holdout	negative	the	the
holdout	positive	фтв	and
holdout	negative	and	and
holdout	positive	ащк	for
holdout	negative	for	for
dev	positive	нщг	you
dev	negative	you	you
dev	positive	фку	are
dev	negative	are	are
holdout	positive	цшер	with
holdout	negative	with	with
holdout	positive	ершы	this
holdout	negative	this	this
holdout	positive	ерфе	that
holdout	negative	that	that
dev	positive	акщь	from
dev	negative	from	from
dev	positive	рфму	have
dev	negative	have	have
holdout	positive	рфы	has
holdout	negative	has	has
holdout	positive	рфв	had
holdout	negative	had	had
holdout	positive	тще	not
holdout	negative	not	not
dev	positive	иге	but
dev	negative	but	but
dev	positive	фдд	all
dev	negative	all	all
holdout	positive	фтн	any
holdout	negative	any	any
holdout	positive	сфт	can
holdout	negative	can	can
holdout	positive	цшдд	will
holdout	negative	will	will
dev	positive	щту	one
dev	negative	one	one
dev	positive	ецщ	two
dev	negative	two	two
holdout	positive	щге	out
holdout	negative	out	out
holdout	positive	пуе	get
holdout	negative	get	get
holdout	positive	пще	got
holdout	negative	got	got
dev	positive	туц	new
dev	negative	new	new
dev	positive	щдв	old
dev	negative	old	old
holdout	positive	тщц	now
holdout	negative	now	now
holdout	positive	ерут	then
holdout	negative	then	then
holdout	positive	руку	here
holdout	negative	here	here
dev	positive	еруку	there
dev	negative	there	there
dev	positive	црут	when
dev	negative	when	when
holdout	positive	црфе	what
holdout	negative	what	what
holdout	positive	црщ	who
holdout	negative	who	who
holdout	positive	црн	why
holdout	negative	why	why
dev	positive	рщц	how
dev	negative	how	how
dev	positive	щгк	our
dev	negative	our	our
holdout	positive	нщгк	your
holdout	negative	your	your
holdout	positive	сруслы	checks
holdout	negative	checks	checks
holdout	positive	ыукмукы	servers
holdout	negative	servers	servers
dev	positive	сдшутеы	clients
dev	negative	clients	clients
dev	positive	игааукы	buffers
dev	negative	buffers	buffers
holdout	positive	сфсруы	caches
holdout	negative	caches	caches
holdout	positive	ыекштпы	strings
holdout	negative	strings	strings
holdout	positive	игеещты	buttons
holdout	negative	buttons	buttons
dev	positive	ьутгы	menus
dev	negative	menus	menus
dev	positive	сщташпы	configs
dev	negative	configs	configs
holdout	positive	ыефеуы	states
holdout	negative	states	states
dev	negative	hello@example.com	hello@example.com
dev	negative	https://example.com/path	https://example.com/path
holdout	negative	/usr/bin/typetune	/usr/bin/typetune
holdout	negative	foo::bar_baz	foo::bar_baz
holdout	negative	TypeTune	TypeTune
dev	negative	OpenAI	OpenAI
dev	negative	GitHub	GitHub
holdout	negative	Python	Python
holdout	negative	VSCode	VSCode
holdout	negative	Ctrl+C	Ctrl+C
dev	negative	myVarName	myVarName
dev	negative	snake_case_name	snake_case_name
holdout	negative	kebab-case-name	kebab-case-name
holdout	negative	привеt	привеt
holdout	negative	qwerty	qwerty
dev	negative	asdfgh	asdfgh
dev	negative	руддщ42	руддщ42
holdout	negative	ghbdtn_	ghbdtn_
holdout	negative	GhBdTn	GhBdTn
holdout	negative	London	London
dev	negative	Москва	Москва
dev	negative	New York	New York
holdout	negative	UTF-8	UTF-8
holdout	negative	x86_64	x86_64
holdout	negative	JSON	JSON
dev	negative	HTTP	HTTP
dev	negative	localhost:8080	localhost:8080
holdout	negative	user@host	user@host
holdout	negative	C:\Users\test	C:\Users\test
holdout	negative	1.2.3.4	1.2.3.4
dev	negative	null	null
dev	negative	true	true
holdout	negative	false	false
holdout	negative	enum	enum
holdout	negative	struct	struct
dev	negative	impl	impl
dev	negative	match	match
holdout	negative	есть	есть
holdout	negative	быть	быть
dev	negative	очень	очень
dev	negative	просто	просто
holdout	negative	какой	какой
holdout	negative	этот	этот
holdout	negative	потом	потом
dev	negative	сейчас	сейчас
dev	negative	когда	когда
holdout	negative	почему	почему
holdout	negative	through	through
holdout	negative	though	though
dev	negative	thought	thought
dev	negative	people	people
holdout	negative	another	another
holdout	negative	question	question
dev	negative	something	something
dev	negative	anything	anything
holdout	negative	everything	everything
holdout	negative	shoulder	shoulder
holdout	negative	mother	mother
dev	negative	father	father
dev	negative	brother	brother
holdout	negative	winter	winter
holdout	negative	summer	summer
holdout	negative	spring	spring
dev	negative	autumn	autumn
# D3 boundary punctuation (edge strip + restore; full token wins when mappable)
dev	positive	ghbdtn,	привет,
dev	negative	привет,	привет,
holdout	positive	ghbdtn.	привет.
holdout	negative	привет.	привет.
dev	positive	(ghbdtn)	(привет)
dev	negative	(привет)	(привет)
holdout	positive	ghbdtn...	привет...
holdout	negative	привет...	привет...
dev	positive	Ghbdtn,	Привет,
dev	negative	Привет,	Привет,
# D3 ё target without an е-twin in the lexicon
holdout	positive	to`	еще
holdout	negative	ещё	ещё
# D3 full-token URL/code negatives (guards before edge split)
dev	negative	ghbdtn.com	ghbdtn.com
holdout	negative	example.com	example.com
dev	negative	ghbdtn.com,	ghbdtn.com,
holdout	positive	.ghbdtn	.привет
holdout	negative	.привет	.привет
